Space name,Source Type,Package Name,Package Version,Ecosystem,Vulnerability ID,Severity,Aliases,Cwe_Ids,Severity_score,Group IDs,Experimental Analysis
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-mh3m-62v7-68xg,MODERATE,"BIT-tensorflow-2022-36002,CVE-2022-36002",CWE-617,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-mh3m-62v7-68xg,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-mv77-9g28-cwg3,MODERATE,"BIT-tensorflow-2022-41908,CVE-2022-41908",CWE-20,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:N/I:N/A:H,GHSA-mv77-9g28-cwg3,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-mv8m-8x97-937q,MODERATE,"BIT-tensorflow-2022-36004,CVE-2022-36004",CWE-617,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-mv8m-8x97-937q,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-mw6j-hh29-h379,MODERATE,,CWE-190,,GHSA-mw6j-hh29-h379,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-p2xf-8hgm-hpw5,MODERATE,"BIT-tensorflow-2022-35984,CVE-2022-35984",CWE-617,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-p2xf-8hgm-hpw5,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-p7hr-f446-x6qf,MODERATE,"BIT-tensorflow-2022-35997,CVE-2022-35997",CWE-617,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H,GHSA-p7hr-f446-x6qf,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-p9rc-rmr5-529j,MODERATE,"BIT-tensorflow-2022-29199,CVE-2022-29199",CWE-20,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:N/I:N/A:H,GHSA-p9rc-rmr5-529j,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-pf36-r9c6-h97j,MODERATE,"BIT-tensorflow-2022-41911,CVE-2022-41911",CWE-704,CVSS:3.1/AV:N/AC:H/PR:L/UI:R/S:U/C:N/I:N/A:H,GHSA-pf36-r9c6-h97j,
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-pfjj-m3jj-9jc9,HIGH,"BIT-tensorflow-2022-21736,CVE-2022-21736,PYSEC-2022-115,PYSEC-2022-60",CWE-476,CVSS:4.0/AV:N/AC:L/AT:N/PR:L/UI:N/VC:L/VI:L/VA:H/SC:N/SI:N/SA:N,"PYSEC-2022-60,GHSA-pfjj-m3jj-9jc9",
,lockfile,tensorflow-cpu,2.3.4,PyPI,GHSA-pgcq-h79j-2f69,HIGH,"BIT-tensorflow-2021-41206,CVE-2021-41206,PYSEC-2021-843,PYSEC-2021-845,PYSEC-2021-847",CWE-354,CVSS:4.0/AV:L/AC:L/AT:P/PR:L/UI:N/VC:H/VI:H/VA:H/SC:N/SI:N/SA:N,"PYSEC-2021-845,GHSA-pgcq-h79j-2f69",
